Symbol,Strike,Premium,Delta,IV,# Contracts,Profit
GSK,42.0000,0.080000,-0.161394,0.245788,2,16.0
OKE,55.0000,0.080000,-0.060922,0.569295,2,16.0
MU,78.0000,0.160000,-0.084600,0.550654,1,16.0
PHM,50.0000,0.080000,-0.066165,0.569489,2,16.0
GILD,69.0000,0.170000,-0.181013,0.274644,1,17.0
NCLH,17.0000,0.030000,-0.035177,1.155785,6,18.0
AZN,52.5000,0.090000,-0.109590,0.349225,2,18.0
MRVL,81.0000,0.190000,-0.107502,0.479908,1,19.0
BMY,57.5000,0.100000,-0.116416,0.330425,2,20.0
MET,57.5000,0.100000,-0.085257,0.468572,2,20.0
TPR,40.0000,0.100000,-0.101631,0.541826,2,20.0
CAH,47.0000,0.100000,-0.118666,0.391681,2,20.0
MDT,107.0000,0.200000,-0.105774,0.394721,1,20.0
SO,65.0000,0.200000,-0.239585,0.241000,1,20.0
CL,81.0000,0.200000,-0.224929,0.210482,1,20.0
DBX,22.0000,0.040000,-0.065512,0.646347,5,20.0
SYY,71.0000,0.200000,-0.150578,0.388805,1,20.0
SYF,44.0000,0.100000,-0.093269,0.544747,2,20.0
MS,93.0000,0.210000,-0.094562,0.533415,1,21.0
VOD,14.5000,0.030000,-0.111777,0.408262,7,21.0
PM,89.0000,0.210000,-0.143165,0.348215,1,21.0
BSX,38.0000,0.070000,-0.073900,0.576335,3,21.000000000000004
GLW,35.0000,0.070000,-0.100341,0.446197,3,21.000000000000004
MGM,38.0000,0.070000,-0.067789,0.631297,3,21.000000000000004
WBA,47.5000,0.110000,-0.129673,0.383609,2,22.0
MCHP,80.0000,0.230000,-0.110736,0.561387,1,23.0
SHAK,65.0000,0.230000,-0.084489,0.901862,1,23.0
RTX,81.0000,0.230000,-0.163112,0.356692,1,23.0
XOM,60.0000,0.230000,-0.206697,0.358177,1,23.0
MU,79.0000,0.240000,-0.122827,0.526757,1,24.0
WY,37.0000,0.080000,-0.104807,0.457420,3,24.0
OXY,26.0000,0.060000,-0.067423,0.777163,4,24.0
GOLD,17.0000,0.040000,-0.110793,0.465370,6,24.0
NCLH,17.5000,0.040000,-0.048810,1.058609,6,24.0
NTR,67.0000,0.250000,-0.176815,0.420872,1,25.0
COP,68.0000,0.250000,-0.163218,0.455764,1,25.0
CF,60.0000,0.250000,-0.178692,0.461562,1,25.0
PSX,68.0000,0.250000,-0.161604,0.461109,1,25.0
TJX,71.0000,0.250000,-0.192894,0.358911,1,25.0
VMW,105.0000,0.250000,-0.109932,0.474737,1,25.0
CAH,47.5000,0.130000,-0.162213,0.346539,2,26.0
CPB,42.0000,0.130000,-0.187874,0.327271,2,26.0
BK,54.0000,0.130000,-0.111074,0.474099,2,26.0
AFL,55.0000,0.130000,-0.129283,0.392418,2,26.0
SOFI,12.5000,0.030000,-0.051372,1.051055,9,27.0
C,59.0000,0.270000,-0.215431,0.403633,1,27.0
WPM,38.0000,0.090000,-0.106237,0.490700,3,27.0
GPS,15.0000,0.040000,-0.076324,0.778628,7,28.0
SLB,27.5000,0.070000,-0.087418,0.648029,4,28.000000000000004
CIEN,72.0000,0.280000,-0.201340,0.374852,1,28.000000000000004
MS,94.0000,0.280000,-0.125708,0.503898,1,28.000000000000004
EBAY,64.0000,0.280000,-0.207377,0.404912,1,28.000000000000004
MDT,108.0000,0.290000,-0.149947,0.373306,1,28.999999999999996
MCHP,81.0000,0.300000,-0.146979,0.517896,1,30.0
SHAK,67.5000,0.300000,-0.129300,0.707305,1,30.0
NEM,54.0000,0.150000,-0.139401,0.419491,2,30.0
NTAP,84.0000,0.300000,-0.174422,0.410225,1,30.0
MGM,39.0000,0.150000,-0.135721,0.586902,2,30.0
CMCSA,47.0000,0.150000,-0.156063,0.419901,2,30.0
DB,11.5000,0.030000,-0.095581,0.602306,10,30.0
CSX,35.0000,0.100000,-0.177917,0.323519,3,30.0
CAG,32.0000,0.100000,-0.236461,0.248726,3,30.0
FCX,35.0000,0.100000,-0.089604,0.701047,3,30.0
EMR,89.0000,0.300000,-0.192186,0.345667,1,30.0
CC,30.0000,0.100000,-0.121466,0.581297,3,30.0
BSX,39.0000,0.160000,-0.156099,0.532046,2,32.0
BUD,56.0000,0.160000,-0.157764,0.373132,2,32.0
MNST,88.0000,0.330000,-0.200011,0.364986,1,33.0
PM,90.0000,0.330000,-0.220706,0.316623,1,33.0
USB,55.0000,0.170000,-0.143990,0.447174,2,34.0
APO,66.0000,0.350000,-0.197578,0.515136,1,35.0
SCHW,78.0000,0.350000,-0.189195,0.462969,1,35.0
RKT,14.5000,0.050000,-0.091120,0.815751,7,35.0
BHC,22.0000,0.070000,-0.078625,0.883319,5,35.00000000000001
HAL,21.0000,0.070000,-0.110409,0.645346,5,35.00000000000001
PLUG,26.0000,0.090000,-0.060685,1.222282,4,36.0
DAL,34.0000,0.120000,-0.110303,0.680665,3,36.0
MU,80.0000,0.360000,-0.176465,0.503788,1,36.0
SPCE,12.0000,0.040000,-0.049573,1.425557,9,36.0
SBUX,112.0000,0.360000,-0.196143,0.322182,1,36.0
SYF,45.0000,0.180000,-0.167476,0.479098,2,36.0
TWTR,42.0000,0.180000,-0.145620,0.599687,2,36.0
BP,25.5000,0.090000,-0.156094,0.461793,4,36.0
CHWY,50.0000,0.180000,-0.093850,0.822051,2,36.0
VIAC,28.0000,0.090000,-0.122966,0.554503,4,36.0
NCLH,18.0000,0.060000,-0.073486,0.984411,6,36.0
WBA,48.0000,0.180000,-0.198007,0.369434,2,36.0
VLO,66.0000,0.360000,-0.214308,0.480324,1,36.0
MS,95.0000,0.380000,-0.168481,0.475752,1,38.0
YNDX,60.0000,0.400000,-0.232251,0.527464,1,40.0
SU,22.0000,0.080000,-0.119912,0.638965,5,40.0
AIG,52.5000,0.200000,-0.162393,0.474111,2,40.0
BAC,43.0000,0.200000,-0.222554,0.394014,2,40.0
BK,55.0000,0.200000,-0.179968,0.402109,2,40.0
DOW,52.0000,0.200000,-0.174715,0.439285,2,40.0
CLR,40.0000,0.200000,-0.134472,0.754485,2,40.0
UAA,21.0000,0.080000,-0.131876,0.600609,5,40.0
CMCSA,47.5000,0.200000,-0.212232,0.379500,2,40.0
SLB,28.0000,0.100000,-0.127117,0.589310,4,40.0
AAL,15.5000,0.060000,-0.102447,0.800486,7,42.0
GPS,15.5000,0.060000,-0.126080,0.640513,7,42.0
